-42,62
-40,53
-16,10,60
-16,9,63
-16,9,60
-18,10,58
-16,11,61
-17,12,59
-17,11,59
-15,13,68
-14,10,65
-15,8,53
-28,9,41
-47,28,28
19,10,107
11,7,90
-14,13,52
-17,15,46
-23,15,54
-22,13,60
-21,13,59
-17,14,59
-16,15,60
-15,15,61
-16,15,60
-18,15,60
-19,14,58
-18,14,58
-16,15,58
-16,16,59
-17,17,61
-17,16,61
-16,15,59
-17,15,60
-16,14,59
-17,14,57
-18,15,54
-16,14,53
-16,14,56
-13,17,65
-12,18,68
-12,18,68
-5,19,73
-7,17,65
-22,13,47
-23,12,45
-34,19,44
3,12,82
-4,12,68
-16,15,52
-16,16,53
-19,15,59
-20,15,61
-17,15,60
-15,16,59
-15,16,59
-16,15,59
-16,14,60
-17,14,60
-16,13,59
-15,14,58
-15,14,58
-15,15,61
-15,14,61
-15,14,59
-16,14,60
-15,14,60
-17,15,56
-13,14,58
-15,15,62
-14,13,63
-12,12,63
-13,13,62
-12,13,62
-10,15,63
-10,15,70
-13,13,57
-33,9,37
-59,31,22
26,11,108
7,10,78
-16,16,49
-16,16,49
-19,17,59
-21,13,58
-19,13,58
-15,14,59
-13,15,60
-13,16,61
-15,16,60
-17,16,60
-17,15,59
-16,15,59
-14,15,60
-14,15,59
-15,15,60
-15,15,60
-15,15,60
-16,14,60
-16,14,60
-16,13,60
-16,13,59
-16,13,60
-15,13,60
-16,13,60
-16,13,61
-16,13,61
-16,13,59
-16,13,59
-15,13,60
-15,14,60
-15,14,59
-15,14,60
-16,13,64
-16,10,60
-16,10,58
-14,10,58
-11,11,60
-12,13,66
-12,15,63
-9,16,63
-18,13,63
-8,8,70
-26,14,53
-47,12,45
-48,4,38
-49,3,36
-50,4,27
-39,6,39
-54,3,25
-56,8,-12
-97,10,-20
-83,8,22
-48,7,51
-45,2,39
-35,8,33
-41,9,33
-52,7,28
-49,2,11
-88,7,8
-84,5,18
-63,1,26
-58,4,13
-53,7,16
-58,9,20
-60,6,13
-68,3,-18
-83,2,-23
-75,10,19
-54,3,21
-50,2,14
-48,7,18
-50,5,13
-77,1,-15
-87,3,-8
-74,3,-4
-61,4,-2
-60,6,1
-59,6,2
-61,5,0
-68,4,0
-68,2,-8
-80,6,-6
-74,8,13
-52,5,18
-49,4,12
-52,3,3
-67,3,-14
-75,2,-18
-77,2,-15
-64,2,-13
-59,4,-13
-59,4,-11
-61,4,-9
-65,3,-10
-64,4,-7
-64,3,-8
-65,5,-9
-61,6,-14
-49,4,-28
-52,5,-36
-54,10,-33
-52,9,-34
-117
-108
-58,5,-33
-49,5,-31
-45,2,-36
-48,0,-44
-48,2,-48
-43,3,-56
-43,3,-61
-34,1,-61
-30,2,-52
-33,2,-50
-37,0,-47
-40,1,-48
-50,1,-55
-44,3,-53
-47,7,-42
-62,14,-30
-62,16,-24
-59,12,-29
-56,8,-30
-93
-51,2,-30
-62,6,-31
-51,9,-38
-44,8,-51
-38,7,-60
-34,7,-61
-32,4,-60
-31,3,-56
-38,0,-51
